year,month,trades,stocks,total_deployed
2025,5,1,AETHER,22975
2025,6,1,AETHER,22975
2025,8,1,ACE,45950
2025,9,1,ANUP,22975
2025,10,2,"JUBLFOOD, MAHSEAMLES",22975
2025,11,2,"JUBLFOOD, MAHSEAMLES",22975
2025,12,1,EPIGRAL,22975
2026,1,1,KAYNES,25272
2026,2,5,"ACE, ELECON, MAHSEAMLES, RANEHOLDIN, SHILPAMED",25272
2026,3,1,JINDRILL,25272
2026,4,1,TAJGVK,25272
